Timestamp,Algorithm,Dimensions,Start Pos,Status,Deepest Step,Total Steps,Time (s),Operations
12:32:45 AM,Backtracking,8x8x3,[4|6|2],Timeout,186,192,60.008,143805
12:32:45 AM,Warnsdorff,8x8x3,[4|6|2],Success,192,192,0.133,192
12:32:45 AM,Combined,8x8x3,[4|6|2],Success,192,192,0.133,192
12:33:49 AM,Backtracking,8x8x3,[4|1|0],Timeout,185,192,60.006,146265
12:33:49 AM,Warnsdorff,8x8x3,[4|1|0],Success,192,192,0.118,192
12:33:49 AM,Combined,8x8x3,[4|1|0],Success,192,192,0.118,192
12:35:37 AM,Backtracking,8x8x3,[0|1|2],Timeout,184,192,60.004,147870
12:35:37 AM,Warnsdorff,8x8x3,[0|1|2],Success,192,192,0.102,192
12:35:37 AM,Combined,8x8x3,[0|1|2],Success,192,192,0.102,192
12:38:00 AM,Backtracking,8x8x3,[5|6|2],Timeout,183,192,60.005,147990
12:38:00 AM,Warnsdorff,8x8x3,[5|6|2],Success,192,192,0.083,192
12:38:00 AM,Combined,8x8x3,[5|6|2],Success,192,192,0.083,192
12:39:11 AM,Backtracking,8x8x3,[3|1|2],Timeout,185,192,60.007,147885
12:39:11 AM,Warnsdorff,8x8x3,[3|1|2],Success,192,192,0.091,192
12:39:11 AM,Combined,8x8x3,[3|1|2],Success,192,192,0.091,192
12:41:37 AM,Backtracking,8x8x3,[1|3|1],Timeout,185,192,60.006,147915
12:41:37 AM,Warnsdorff,8x8x3,[1|3|1],Success,192,192,0.084,192
12:41:37 AM,Combined,8x8x3,[1|3|1],Success,192,192,0.084,192
12:42:42 AM,Backtracking,8x8x3,[3|6|1],Timeout,186,192,60.004,147990
12:42:42 AM,Warnsdorff,8x8x3,[3|6|1],Success,192,192,0.081,192
12:42:42 AM,Combined,8x8x3,[3|6|1],Success,192,192,0.082,192
12:43:44 AM,Backtracking,8x8x3,[6|7|0],Timeout,183,192,60.005,148020
12:43:44 AM,Warnsdorff,8x8x3,[6|7|0],Success,192,192,0.083,192
12:43:44 AM,Combined,8x8x3,[6|7|0],Success,192,192,0.083,192
12:44:46 AM,Backtracking,8x8x3,[3|0|1],Timeout,184,192,60.001,147165
12:44:46 AM,Warnsdorff,8x8x3,[3|0|1],Success,192,192,0.083,192
12:44:46 AM,Combined,8x8x3,[3|0|1],Success,192,192,0.083,192
12:46:12 AM,Backtracking,8x8x3,[1|0|1],Timeout,186,192,60.003,147720
12:46:12 AM,Warnsdorff,8x8x3,[1|0|1],Success,192,192,0.094,192
12:46:12 AM,Combined,8x8x3,[1|0|1],Success,192,192,0.094,192
12:47:56 AM,Backtracking,8x8x3,[3|2|1],Timeout,180,192,60.005,147780
12:47:56 AM,Warnsdorff,8x8x3,[3|2|1],Success,192,192,0.088,192
12:47:56 AM,Combined,8x8x3,[3|2|1],Success,192,192,0.089,192
12:49:07 AM,Backtracking,8x8x3,[7|4|1],Timeout,181,192,60.003,146070
12:49:07 AM,Warnsdorff,8x8x3,[7|4|1],Success,192,192,0.097,192
12:49:07 AM,Combined,8x8x3,[7|4|1],Success,192,192,0.097,192
12:50:09 AM,Backtracking,8x8x3,[4|4|1],Timeout,186,192,60.003,145410
12:50:09 AM,Warnsdorff,8x8x3,[4|4|1],Success,192,192,0.120,192
12:50:09 AM,Combined,8x8x3,[4|4|1],Success,192,192,0.120,192
12:52:45 AM,Backtracking,8x8x3,[3|1|1],Timeout,185,192,60.006,114300
12:52:45 AM,Warnsdorff,8x8x3,[3|1|1],Success,192,192,0.098,192
12:52:45 AM,Combined,8x8x3,[3|1|1],Success,192,192,0.099,192
12:55:01 AM,Backtracking,8x8x3,[7|2|1],Timeout,184,192,60.004,112005
12:55:01 AM,Warnsdorff,8x8x3,[7|2|1],Success,192,192,0.135,192
12:55:01 AM,Combined,8x8x3,[7|2|1],Success,192,192,0.135,192
